param,dbcv,n_clusters,noise_ratio,duration
50,0.24789010174434434,1487,0.37541269762106627,0.372183088461558
250,0.22570774028135895,251,0.46231110667797115,0.342330272992452
450,0.23866777339251327,142,0.5123867471281566,0.36186867554982505
650,0.3655214546313567,70,0.39137532625139226,0.33841533263524376
850,0.1816205712563279,27,0.3216497930277792,0.37443467378616335
1050,0.16751307295560358,23,0.2972719565108972,0.33662656545639036
1250,0.05708564174112043,22,0.349814639336359,0.3626381874084473
1450,0.04965474169605608,21,0.3428789919039782,0.3376779357592265
1650,0.07587592092641987,17,0.3563014313500574,0.36723411877950035
1850,0.03975468373657329,12,0.3569065549515402,0.3388999660809835
2050,0.033362109459254996,11,0.3634731434841155,0.36411391496658324
2250,0.05981142118163296,9,0.36264857945572126,0.33773263692855837
Average,0.14520543608354686,,,4.234155368804932
Best,0.3655214546313567,70,,
