param,dbcv,n_clusters,noise_ratio,duration
50,0.25666250296297805,1946,0.19953119545159842,3.273284916083018
250,0.22007342371815614,377,0.31415556996326033,3.2991629401842753
450,0.2126560021535376,179,0.38650441374495037,3.307482663790385
650,0.20543066791669776,114,0.42266886107093576,3.3102548201878865
850,0.17309891740105154,80,0.43497747410769205,3.3039053122202557
1050,0.17136182496812957,67,0.44831679217994114,3.2907488544782004
1250,0.17435250658057388,57,0.5234053164430702,3.284767444928487
1450,0.12987213180921578,45,0.5788339733679119,3.282097069422404
1650,0.09003248194000942,35,0.5474506674646319,3.277138960361481
1850,0.07539112523280457,31,0.5330906189217496,3.2820186018943787
2050,0.07428477026241133,27,0.5568334081425698,3.2831661621729533
2250,0.011725523171770877,6,0.11830498894485728,3.279304246107737
Average,0.14957848984311137,,,39.47333199183146
Best,0.25666250296297805,1946,,
