param,dbcv,n_clusters,noise_ratio,duration
50,0.09857539882795215,276,0.06394028560504048,0.37989327907562254
250,0.11683324384728226,76,0.0961381809718551,0.39910996754964195
450,0.1092856035430305,54,0.09576579721709641,0.39572700262069704
650,0.17937922162890002,36,0.11404252489485146,0.38369871775309244
850,0.1421742102846299,30,0.1175868202749655,0.39200386206309
1050,0.13059080428537567,26,0.13002510265489667,0.400604776541392
1250,0.11489740740692778,22,0.1371436171097036,0.38085465828577675
1450,0.06610982710612211,16,0.14995760809934666,0.38313482999801635
1650,0.06610982710612211,16,0.14995760809934666,0.4023119727770487
1850,0.06067647655858147,15,0.155869200206141,0.38923098643620807
2050,0.08617677318492044,13,0.1610792479178096,0.3755396127700806
2250,0.07274382475196813,11,0.17585157847488903,0.40447634855906167
2450,0.07274382475196813,11,0.17585157847488903,0.38976358572642006
2650,0.06502744451595088,10,0.18445962794873075,0.37473846673965455
2850,0.06502744451595088,10,0.18445962794873075,0.40049452781677247
3050,0.056568993336031895,9,0.19422140209133376,0.3955885132153829
3250,0.04821277150739678,8,0.20479444084251824,0.3714937527974447
3450,0.04821277150739678,8,0.20479444084251824,0.40083755254745485
3650,0.04821277150739678,8,0.20479444084251824,0.3987763484319051
3850,0.04821277150739678,8,0.20479444084251824,0.3712780793507894
4250,0.04821277150739678,8,0.20479444084251824,0.3994816144307454
4650,0.04821277150739678,8,0.20479444084251824,0.39570738474527994
5050,0.01792239639976513,7,0.20107392814988445,0.3781801660855611
5450,0.08309135289534074,6,0.18799394876398517,0.3925152778625488
5850,0.08309135289534074,6,0.18799394876398517,0.3963286797205607
6250,0.0652261691695522,5,0.20775356175086862,0.3769777576128642
Average,0.07852031638677284,,,10.128747721513113
Best,0.17937922162890002,36,,
