param,dbcv,n_clusters,noise_ratio,duration
50,0.11478091240949623,105,0.21215978858146542,0.06202213764190674
100,0.11197777989708876,50,0.2653850492289347,0.05169370969136556
150,0.49919574875754347,37,0.2999178174903718,0.05720802942911784
200,0.1564885193305764,30,0.3145011843949917,0.05808284282684326
250,0.1600307390251777,21,0.3328069355592439,0.08101529677708943
300,0.13170628576001425,19,0.3563498074351,0.12558724085489908
350,0.11618882165988502,18,0.36974072223923166,0.1348128279050191
400,0.1017044408085958,17,0.38129461623990846,0.13024601936340333
450,0.08369661433609081,15,0.3956846125336384,0.1359029253323873
500,0.19499635935711215,12,0.3337093317433972,0.14447273015975953
550,0.18932115531534852,12,0.3478576147735147,0.1372599164644877
600,0.22014527979166948,9,0.3579128865397941,0.151741890112559
650,0.12946879793355728,7,0.300626843063635,0.13995556036631265
700,0.12264262915103855,7,0.31271250624425934,0.14703845977783203
750,0.12324437724422835,7,0.3101342314323928,0.1609324852625529
800,0.11016129204825897,6,0.33685160417035953,0.14971516132354737
850,0.10834891705536626,6,0.3410251865220684,0.15606640974680583
900,0.10761528997925819,6,0.3422982097104275,0.1712724486986796
950,0.09203929351872187,5,0.3616191565818522,0.1540547768274943
Average,0.15125017123047516,,,2.3490808685620626
Best,0.49919574875754347,37,,
