param,dbcv,n_clusters,noise_ratio,duration
50,0.5344498781203478,1284,0.1322793543131681,0.7577534914016724
250,0.37829113597970043,342,0.2569547653483617,0.7613823016484579
450,0.22420607811057117,157,0.34429205525908935,0.7698355078697204
650,0.20557879537191368,118,0.37175868202749657,0.7510914246241251
850,0.2039881342654263,79,0.39450401476235597,0.7467052181561787
1050,0.19485993582143488,59,0.4052898442305454,0.7720616698265076
1250,0.2088731775245925,48,0.4172227486575898,0.7613735516866048
1450,0.3011247507219377,39,0.42998686682293485,0.7421330372492473
1650,0.294054294506811,38,0.425411866407328,0.771449069182078
1850,0.2885578174992343,37,0.4310275464232873,0.7630455334981282
2050,0.2844506393690898,35,0.4370355593237245,0.745701011021932
2250,0.2946458193067563,30,0.45862051767991624,0.7619568943977356
2450,0.3106255473061898,29,0.45244626203181887,0.7734485189119975
2650,0.2964162409973143,28,0.45145545525576447,0.7453447421391804
2850,0.32729230671045484,27,0.44648812195567966,0.754818077882131
3050,0.31337134590998894,25,0.46563928648612707,0.7689751704533895
3250,0.2891470449370775,23,0.47232224494206443,0.7589933832486471
3450,0.2891470449370775,23,0.47232224494206443,0.7415109316507975
3650,0.2761033470660083,22,0.47216265190431067,0.769536558787028
3850,0.2587736851055534,20,0.4968796236264193,0.7645379145940144
4050,0.26967687036691307,18,0.5226106761092547,0.7452696243921916
4250,0.2469469572372809,16,0.549881136435423,0.7670286575953166
4450,0.2057155518897824,14,0.5370438714611075,0.7665429631868999
4650,0.2057155518897824,14,0.5370438714611075,0.7429123799006144
4850,0.2057155518897824,14,0.5370438714611075,0.7579233765602111
5050,0.2057155518897824,14,0.5370438714611075,0.765829328695933
5450,0.20156599005482334,12,0.5720346449886123,0.7529521306355794
5850,0.25530689599131606,10,0.5831762339367945,0.7464873909950256
Average,0.2703684264563194,,,21.226599860191342
Best,0.5344498781203478,1284,,
