param,dbcv,n_clusters,noise_ratio,duration
50,0.649531058037732,1261,0.12469536016491281,0.7120610117912293
250,0.3245990754297901,339,0.2736521869233455,0.6968936443328857
450,0.2464086435377093,142,0.3461307000482104,0.7012269298235575
650,0.23196179690897467,109,0.367286752115439,0.6964036623636881
850,0.17154462053377095,80,0.37202799527870595,0.7004984458287556
1050,0.1609026494472268,62,0.40493408475055276,0.701486333211263
1250,0.15104342067693313,53,0.36999318404734594,0.6946122407913208
1450,0.12579312346731,37,0.4145562149851213,0.6988374431927998
1650,0.1423467602960916,33,0.43549947633534486,0.6965062300364177
1850,0.14076173407998308,27,0.42201053979020164,0.6981451312700907
2050,0.14010158324825855,26,0.4218176982029159,0.6950667182604472
2250,0.14010158324825855,26,0.4218176982029159,0.6990909576416016
2450,0.13687302893224346,24,0.43695908765980085,0.6935386141141255
2650,0.17618095052955174,22,0.4541086895084202,0.6986611127853394
2850,0.17618095052955174,22,0.4541086895084202,0.6949035247166951
3050,0.20622910726054325,19,0.4692534038202583,0.6953105688095093
3250,0.19681483617212203,18,0.4794939570761226,0.6961856961250306
3450,0.19522763397168008,17,0.47840672950642527,0.6980172316233317
3650,0.21236538748790043,16,0.47825046132362475,0.6998412092526753
3850,0.21236538748790043,16,0.47825046132362475,0.6953821738560995
4050,0.21791683260531652,14,0.5042342027829037,0.6929370760917664
4250,0.15483215310314416,13,0.4768008245640284,0.6938816428184509
4450,0.15462267002218674,12,0.4142137549249414,0.6956394433975219
4650,0.15462267002218674,12,0.4142137549249414,0.6977334856987
4850,0.14462789599303444,11,0.4296809801672402,0.6967776735623677
5050,0.14524403667711286,10,0.4463717520323176,0.6977594216664632
Average,0.19650767652717357,,,18.137397623062135
Best,0.649531058037732,1261,,
