param,dbcv,n_clusters,noise_ratio,duration
50,0.3294490482126316,227,0.3564787211756933,0.05553625424702962
100,0.3620305526274473,100,0.40844707285237764,0.056294564406077066
150,0.3967775058123353,69,0.4473629082939878,0.06130032539367676
200,0.3445591469114251,47,0.36110350161947885,0.07756060759226481
250,0.3004729586675641,34,0.4150539020577856,0.06454747120539348
300,0.25221027054608497,30,0.4352772451133635,0.13915481170018515
350,0.2543277961770748,25,0.4659426011570008,0.143502144018809
400,0.05875020629535235,9,0.17227710008540537,0.15733713706334432
Average,0.28732218565623946,,,0.7552333156267802
Best,0.3967775058123353,69,,
